palavras,repetições
rindo,3
sufoco,3
fortalezas e suas dps,3
força,3
restou,3
fria,3
resta,3
frugi,3
respondem,3
destino,3
desta,3
fugir,3
tantas,3
lembra,3
aperrear,3
perder,3
amargos,3
bárbara,3
barulho,3
bulbrax,3
carro,3
verdes,3
parado,3
barra do ceará,3
volto,3
necessária,3
mesma,3
briga,3
perdendo,3
perdeu,3
peito,3
meninas,3
apoiando,3
branco,3
periferia,3
neste,3
neto,3
anos,3
pancada,3
amores,3
mata,3
massati,3
maresia,3
mares,3
naquele,3
naquelas,3
bate,3
média,3
passeavam,3
passarada,3
calçadas,3
camisa,3
passando,3
muros,3
violência,3
moça,3
planeta,3
antônio bezerra,3
cana,3
mãe,3
mãos,3
mó,3
pegar,3
cair,3
vista,3
morrer,3
canibal,3
nadar,3
cansados,3
moram,3
viva,3
namorada,3
parceria,3
pedras,3
carioca,3
cabelo,3
chama,3
passou,3
zé walter,3
chove,3
pagar,3
magia,3
chorando,3
novidade,3
madrugadas,3
nova,3
água boa,3
cigarros,3
palavras,3
ontem,3
boemia,3
piscina,3
maldade,3
chegaram,3
chamou,3
normal,3
blocos,3
madrugada,3
olho,3
esmola,2
rio de janeiro,2
outrora,2
nagô,2
paredes,2
rimas,2
fogo,2
foise,2
olha,2
foda,2
riso,2
ouvi,2
aumentada,2
roda gigante,2
ok,2
fizeram,2
outros,2
segredavas,2
riqueza,2
florados,2
flow,2
paraíso,2
ri,2
flutuar,2
rir,2
seguir,2
alagadiço,2
fortal,2
esconde,2
mágicas,2
amigos,2
esconder,2
passagem,2
fumando,2
muricis,2
multidões,2
música,2
escondam,2
furunfar,2
passear,2
fátima,2
represento,2
escarlate,2
ouro,2
máscara,2
frio,2
olhou,2
outeiro,2
restaure,2
freguês,2
escrito,2
franco rabelo,2
selvagens,2
forçando,2
escuro,2
olhe,2
parque araxá,2
rodolfo teófilo,2
escuta,2
rezam,2
fio,2
saudando,2
ouvir,2
rumo,2
estouro,2
anterior,2
santo antônio da floresta,2
farol,2
farra,2
pano,2
paixão,2
sabiá,2
paisagem,2
atores,2
fazem,2
negros,2
fazenda boa vista,2
rugas,2
sabiaguaba,2
nesta,2
negra,2
nossa senhora das graças,2
salto,2
palmeira,2
animais,2
alagado,2
noiva,2
alarde,2
eternos,2
palavra,2
nota,2
noites,2
sacada,2
santo,2
fama,2
estrangeiro,2
atirar,2
febril,2
parasse,2
filha,2
parangaba,2
nata do lixo,2
américa,2
ouviram,2
rosto,2
ficção,2
nasci,2
ficaram,2
parar,2
espirrar,2
atacou,2
esperto,2
fina,2
roque,2
ficha,2
navegar,2
aumenta,2
nega,2
papel,2
muda,2
satisfaço,2
fechei,2
atenção,2
feliz,2
roupa,2
nua,2
feriram,2
necessário,2
parada,2
roteiro,2
esquecer,2
ficando,2
pobre,2
raça,2
passo,2
lençol,2
praça do carmo,2
praça,2
ladrão,2
peruca,2
piano,2
alto mar,2
marcada,2
praia da barra,2
maravilha,2
sensacional,2
pingo,2
pintores,2
lembras,2
lembro,2
maracanaú,2
lendas,2
lendo,2
prado,2
mané,2
mazela,2
justiça,2
jurema,2
preço,2
programa,2
jandaia,2
perdi,2
procura,2
perdida,2
perdidas,2
japão,2
primeiro,2
jasmins,2
preconceito,2
preto,2
pressa,2
jesus,2
pergunta,2
jogo,2
meio,2
juntava,2
perigo,2
pra gente,2
alçapão,2
relicário,2
além,2
lixão,2
llega,2
malucos,2
maluco,2
poema,2
loteia,2
malandro,2
podia,2
poderão,2
luar,2
major facundo,2
luta,2
maior,2
lutas,2
luvas,2
amanhã,2
aproveita,2
pobres,2
planalto central,2
lixo,2
amadeu furtado,2
litoral,2
libertária,2
leu,2
potro,2
aprendi,2
posto,2
posso,2
lia,2
mangueiras,2
português,2
mangue,2
man,2
ares,2
portam,2
porta,2
porquê,2
arena,2
porangabussu,2
pirocaia,2
população,2
mergulhar,2
inventar,2
protege,2
invadir,2
rampa,2
guardava,2
guardei,2
guaxinins,2
amasso,2
rainha,2
gueto,2
quisera,2
alguns,2
amassar,2
pedaço,2
hasta,2
high tech,2
montese,2
querer bem,2
alisava,2
monte castelo,2
montada,2
homens,2
rap,2
morte,2
mostrem,2
recontar,2
garoto,2
garçom,2
gatas,2
gemidos,2
gentilândia,2
geral,2
redenção,2
mucambo,2
recomponhase,2
gritar,2
moçada,2
gosta,2
real,2
grana,2
motô,2
gravata,2
ray ban,2
motivo,2
momento,2
pedi,2
molha,2
