palavras,repetições
augusto,2
mestre,2
bloco bate palmas,2
blocos,2
blocos de carnaval,2
menor,2
partido,2
atividades,2
medo,2
medina,2
passar,2
mateus,2
marques,2
maria,2
morrer,2
baleiro,2
oswald,2
mão,2
bares,2
ninar,2
negócio,2
nisso,2
navegando,2
banho,2
baseado,2
narrativas,2
basicamente,2
naquela,2
namorada,2
bandas,2
mário,2
berlim,2
obviamente,2
musiquei,2
muros,2
bateu,2
ocupar,2
muita,2
mudou,2
onírica,2
motivo,2
mostrar,2
mostrando,2
balneabilidade,2
pegar,2
pegaram,2
projeto,2
pegava,2
lia,2
letras,2
point,2
lenda,2
pontes,2
popular,2
porto,2
possa,2
pouquinho,2
lance,2
lagoa,2
júllio,2
juntamos,2
praia do peixe,2
prainha,2
josé,2
precisa,2
caminhar,2
jangurussu,2
aprender,2
jacaré,2
isaac,2
preto,2
encontrar,2
instrumental,2
programa,2
inspirei,2
pobreza,2
lido,2
linda,2
madrugada,2
pego,2
marcante,2
pensando,2
marajaitiba,2
pensar,2
pepe,2
percebi,2
mangue,2
pereira,2
major facundo,2
maiores,2
maior,2
perto,2
pirata,2
lídia,2
broadway,2
pesquisar,2
artista,2
artes,2
logo,2
lobisomem,2
livre,2
pintando,2
busquei,2
literatura,2
arte,2
tatá,2
frente,2
vejo,2
cinco,2
3,2
cuidados,2
dinâmica,2
cotidiano,2
adolescente,2
downtown,2
começamos,2
21032021,2
adolescência,2
vim,2
20112020,2
usava,2
vive,2
versão,2
abril,2
crianças,2
diferente,2
vindas,2
curso,2
dá,2
citando,2
conhecidos,2
voz,2
terra,2
trajetória,2
circo,2
colocava,2
construção,2
distante,2
contando,2
contato,2
unidos,2
criou,2
diversão,2
construir,2
divertindo,2
cláudio,2
crush,2
tornou,2
dizendo,2
dei,2
vidraça,2
vivi,2
viveu,2
conscientizar,2
conotação,2
citações,2
convergência,2
título,2
deuses,2
deusas,2
composta,2
edifício,2
cidades,2
educador,2
cândido,2
céu,2
começou,2
comum,2
acaba,2
compus,2
virou,2
tentativa,2
daniel,2
composto,2
afetivo,2
velas,2
trouxe,2
coloca,2
terminei,2
coração,2
conversando,2
colegas,2
condutas,2
violência,2
viu,2
áudio,2
corria,2
vendo,2
d’água,2
trecho,2
pinheiro,1
percebia,1
acabava,1
violões,1
violêcia,1
viajante,1
viam,1
pinho,1
assassinato,1
perdemos,1
viajantes,1
perdeu,1
pinturas,1
perdi,1
pingo,1
violentas,1
vielas,1
pici,1
pertença,1
personagens,1
assaltado,1
vinha,1
aspecto,1
pesada,1
pesca,1
pescador,1
violento,1
